campaign,target,method,energy,boltz_ipsae,boltz_iptm,boltz_binder_plddt,af2_ipsae,af2_iptm,af2_binder_plddt
4D5/bandit_grpo,1YCR_MDM2,bandit_grpo,-0.6692855596542359,0.05148483384400606,0.4340064346790314,88.94368896484374,0.0,0.07953151315450668,34.27472114562988
random_init/bandit_grpo,1YCR_MDM2,bandit_grpo,-0.5353082031011581,0.2348698016256094,0.5402129292488098,52.410223388671874,0.015282181557267904,0.16652846336364746,42.014469146728516
affibody_2B87/bandit_bt,2GDZ,bandit_bt,-0.6440136730670929,0.004686376079916954,0.25497851669788363,77.09700469970703,0.0,0.15803507715463638,45.67180061340332
affibody_2B87/bandit_grpo,2GDZ,bandit_grpo,-0.7049881398677826,0.005903474986553192,0.30255296230316164,78.56671295166015,0.0,0.10513082891702652,67.45972061157227
affibody_2B87/proposal_bandit,2GDZ,proposal_bandit,-0.2904899537563324,0.19495530221611262,0.5688080191612244,52.9786262512207,0.007291059475392103,0.18988030403852463,47.32899284362793
affibody_2B87/random_greedy,2GDZ,random_greedy,-0.2646460890769958,0.0,0.26863748729228976,71.72093200683594,0.0,0.1104842945933342,49.3563117980957
beta_sheet_1E0L/bandit_bt,2GDZ,bandit_bt,-0.39292300641536715,0.0024619869887828826,0.3446095198392868,35.99309387207031,0.0,0.11634745076298714,40.43134117126465
beta_sheet_1E0L/bandit_grpo,2GDZ,bandit_grpo,-0.7023208707571029,0.0,0.2017615556716919,43.86219482421875,0.0,0.10825688391923904,49.77362632751465
beta_sheet_1E0L/proposal_bandit,2GDZ,proposal_bandit,-0.38179553151130674,0.0,0.13148633688688277,41.106824493408205,0.0,0.12316577881574631,26.683802604675293
beta_sheet_1E0L/random_greedy,2GDZ,random_greedy,-0.5349690675735473,0.07303768917918205,0.36977512538433077,39.578278350830075,0.0,0.1473960503935814,45.279184341430664
bindcraft_15PGDH/bandit_bt,2GDZ,bandit_bt,-0.28476110100746155,0.2232135148718953,0.5348899006843567,68.7849136352539,0.0,0.12122796103358269,81.49441528320312
bindcraft_15PGDH/bandit_grpo,2GDZ,bandit_grpo,-0.43055701851844785,0.013323062285780906,0.30019383430480956,46.87106781005859,0.4863281846046448,0.6640041470527649,60.46867752075195
bindcraft_15PGDH/proposal_bandit,2GDZ,proposal_bandit,-0.4263056397438049,0.02080770581960678,0.35517109334468844,47.762796020507814,0.0,0.17891880869865417,53.11757850646973
bindcraft_15PGDH/random_greedy,2GDZ,random_greedy,-0.46205193400382993,0.06580366734415292,0.43675172328948975,67.14449768066406,0.0,0.13430043309926987,68.9667854309082
hairpin/bandit_bt,2GDZ,bandit_bt,-0.9078316986560822,0.05442350599914789,0.5446174502372741,62.26224822998047,0.0,0.1401880569756031,28.979236602783203
hairpin/bandit_grpo,2GDZ,bandit_grpo,-0.9081228256225586,0.012453842908143997,0.32401459515094755,54.63343276977539,0.005411115940660238,0.17512116581201553,37.581539154052734
hairpin/proposal_bandit,2GDZ,proposal_bandit,-0.8962512791156769,0.13515539206564425,0.5568497240543365,62.83031158447265,0.0,0.1258692443370819,31.849129676818848
hairpin/random_greedy,2GDZ,random_greedy,-0.901244866847992,0.16945272982120513,0.4697972148656845,47.37702102661133,0.0,0.15434065833687782,36.74481010437012
4D5/bandit_grpo,4OYD_epstein_barr,bandit_grpo,-0.660724401473999,0.0,0.1909175544977188,59.270738983154295,0.006293498910963535,0.11228739097714424,34.26876735687256
ankyrin/bandit_grpo,4OYD_epstein_barr,bandit_grpo,-0.7475800693035126,0.0024365223944187164,0.305401349067688,91.7692657470703,0.0,0.1022896096110344,95.21734237670898
ankyrin/proposal_bandit,4OYD_epstein_barr,proposal_bandit,-0.6322847545146942,0.1638685405254364,0.4820291459560394,85.25011291503907,0.0,0.10118534043431282,55.156137466430664
ankyrin/random_greedy,4OYD_epstein_barr,random_greedy,-0.8118351638317108,0.019964094460010528,0.31850878000259397,45.585253143310545,0.05557556077837944,0.38785646855831146,42.488250732421875
nanobody/bandit_grpo,4OYD_epstein_barr,bandit_grpo,-0.63435138463974,0.055465026572346685,0.45462666153907777,65.96734313964843,0.0,0.09904351085424423,42.16626739501953
random_init/bandit_grpo,4OYD_epstein_barr,bandit_grpo,-0.6429915726184845,0.19287717416882516,0.5369316399097442,54.455725860595706,0.6594707071781158,0.7762885689735413,54.575958251953125
4D5/bandit_grpo,4ZQK_PD-L1,bandit_grpo,-1.0455732583999633,0.2862962007522583,0.663230550289154,78.12253112792969,0.0,0.09723582118749619,91.51643753051758
4D5/proposal_bandit,4ZQK_PD-L1,proposal_bandit,-0.7085399627685547,0.21260373964905738,0.6226342141628265,88.63629302978515,0.0,0.10742894560098648,45.259429931640625
4D5/random_greedy,4ZQK_PD-L1,random_greedy,-0.772609394788742,0.24201482981443406,0.6167525827884675,52.69416046142578,0.0,0.10069837793707848,35.07948303222656
ankyrin/bandit_grpo,4ZQK_PD-L1,bandit_grpo,-0.764851301908493,0.1592562461271882,0.5985451519489289,90.53261871337891,0.0,0.1303171068429947,65.38083267211914
ankyrin/proposal_bandit,4ZQK_PD-L1,proposal_bandit,-0.7702447891235351,0.13124629352241754,0.5904643774032593,90.47981567382813,0.0,0.0784677192568779,76.60176467895508
ankyrin/random_greedy,4ZQK_PD-L1,random_greedy,-0.6269718050956726,0.102715122140944,0.4969438076019287,40.63162612915039,0.0066994852386415005,0.12683790922164917,35.32237434387207
nanobody/bandit_grpo,4ZQK_PD-L1,bandit_grpo,-0.6268091082572937,0.21100666094571352,0.5573822557926178,82.53762817382812,0.0,0.11015404015779495,30.243014335632324
nanobody/proposal_bandit,4ZQK_PD-L1,proposal_bandit,-1.03024383187294,0.4173456817865372,0.768299674987793,81.01290130615234,0.0,0.0895250216126442,87.99214935302734
nanobody/random_greedy,4ZQK_PD-L1,random_greedy,-0.775697135925293,0.11496872119605542,0.5756289482116699,82.69133758544922,0.0,0.11391176283359528,32.795714378356934
random_init/bandit_grpo,4ZQK_PD-L1,bandit_grpo,-0.7098996937274933,0.26876279413700105,0.7072826266288758,40.67511215209961,0.007553799543529749,0.11891337856650352,48.70591163635254
random_init/random_greedy,4ZQK_PD-L1,random_greedy,-0.8552103459835052,0.2896724373102188,0.7294143319129944,63.566036224365234,0.0,0.10069148615002632,47.91508865356445
